D,T,C
19/09/05,12:38:50,7.8354946000000005
19/09/05,12:38:51,6.726457900000001
19/09/05,12:38:52,8.942176600000002
19/09/05,12:38:53,7.7267678
19/09/05,12:38:54,7.886527400000001
19/09/05,12:38:55,7.6791388000000005
19/09/05,12:38:56,7.911834899999999
19/09/05,12:38:57,7.8916013
19/09/05,12:38:58,7.4028716
19/09/05,12:38:59,8.406142599999999
19/09/05,12:39:00,7.034386299999999
19/09/05,12:39:01,7.307647500000001
19/09/05,12:39:02,8.111284999999999
19/09/05,12:39:03,7.464160699999999
19/09/05,12:39:04,7.6637606
19/09/05,12:39:05,7.9132720999999995
19/09/05,12:39:06,6.549512299999999
19/09/05,12:39:07,7.1512251000000004
19/09/05,12:39:08,5.9923448
19/09/05,12:39:09,7.7901522
19/09/05,12:39:10,8.021232100000002
19/09/05,12:39:11,5.7921173
19/09/05,12:39:12,6.9146564999999995
19/09/05,12:39:13,6.985466300000001
19/09/05,12:39:14,7.6475359
19/09/05,12:39:15,6.868969099999999
19/09/05,12:39:16,6.853239599999998
19/09/05,12:39:17,6.6790524
19/09/05,12:39:18,8.7545303
19/09/05,12:39:19,6.4841368
19/09/05,12:39:20,9.1340285
19/09/05,12:39:21,7.310512000000001
19/09/05,12:39:22,7.817811799999999
19/09/05,12:39:23,8.384009599999999
19/09/05,12:39:24,7.6544676
19/09/05,12:39:25,11.518080600000001
19/09/05,12:39:26,7.507341999999999
19/09/05,12:39:27,7.978286499999999
19/09/05,12:39:28,7.983616100000001
19/09/05,12:39:29,7.809822700000001
19/09/05,12:39:30,7.7937461
19/09/05,12:39:31,7.5609151
19/09/05,12:39:32,7.6920062
19/09/05,12:39:33,7.884864499999999
19/09/05,12:39:34,7.948059800000002
19/09/05,12:39:35,8.0125032
19/09/05,12:39:36,7.934077300000001
19/09/05,12:39:37,8.0847354
19/09/05,12:39:38,7.468769800000001
19/09/05,12:39:39,7.015840800000001
19/09/05,12:39:40,6.732623
19/09/05,12:39:41,6.2380032000000005
19/09/05,12:39:42,6.172583499999999
19/09/05,12:39:43,6.173371500000001
19/09/05,12:39:44,5.941352
19/09/05,12:39:45,6.179697100000001
19/09/05,12:39:46,6.329086800000002
19/09/05,12:39:47,6.373016300000001
19/09/05,12:39:48,5.992900500000001
19/09/05,12:39:49,6.1059578
19/09/05,12:39:50,5.9507695
19/09/05,12:39:51,5.907014000000001
19/09/05,12:39:52,6.024623200000001
19/09/05,12:39:53,6.0815033000000005
19/09/05,12:39:54,5.9734191
19/09/05,12:39:55,7.783398000000001
19/09/05,12:39:56,6.283508699999999
19/09/05,12:39:57,6.2128365
19/09/05,12:39:58,6.333809500000001
19/09/05,12:39:59,7.718890999999998
19/09/05,12:40:00,6.3495402
19/09/05,12:40:01,6.7305551
19/09/05,12:40:02,6.2514693999999995
19/09/05,12:40:03,6.239046299999999
19/09/05,12:40:04,6.5278160000000005
19/09/05,12:40:05,6.994066
19/09/05,12:40:06,7.681998600000001
19/09/05,12:40:07,6.8083787000000004
19/09/05,12:40:08,6.786425300000001
19/09/05,12:40:09,6.6156537
19/09/05,12:40:10,6.845970299999999
19/09/05,12:40:11,6.4208099999999995
19/09/05,12:40:12,6.511365399999999
19/09/05,12:40:13,6.244898999999999
19/09/05,12:40:14,6.374008300000001
19/09/05,12:40:15,6.724112699999999
19/09/05,12:40:16,8.505544800000001
19/09/05,12:40:17,7.227879699999999
19/09/05,12:40:18,7.1945477
19/09/05,12:40:19,8.1494466
19/09/05,12:40:20,7.8739249000000004
19/09/05,12:40:21,7.7654574
19/09/05,12:40:22,6.624084899999999
